Country,Organization
Country/scope,University of Szczecin
Country/scope,Università degli Studi di Verona
Country/scope,University of L'Aquila
Country/scope,Universidad de Jaen
Country/scope,Universidad de Huelva
Country/scope,Università del Salento
Country/scope,Scuola Normale Superiore
Country/scope,Rhine-Main-Universities
Country/scope,Medical University of Gdańsk
Country/scope,Università Politecnica delle Marche
Country/scope,TU Darmstadt
Country/scope,Wroclaw Medical University
Country/scope,University of Copenhagen
Country/scope,"Országos Rabbiképzó – Zsidó Egyetem [Jewish Theological Seminary – University of Jewish Studies, Hungary]"
Country/scope,Academy of Physical Education in Katowice
Country/scope,Universidad de Sevilla
Country/scope,Swedish Research Council
Country/scope,Norwegian University of Science and Technology (NTNU)
Country/scope,GRIN -- GRuppo di INformatica
Country/scope,University of Foggia
Country/scope,Universidad Carlos III de Madrid
Country/scope,Rzeszów University of Technology
Country/scope,UK Research Integrity Office
Country/scope,Universita' degli Studi di Bari Aldo Moro
Country/scope,Università degli Studi di Trento
Country/scope,University of Cagliari
Country/scope,University of South-Eastern Norway
Country/scope,Universidad de Cádiz
Country/scope,Universitat Politècnica de València
Country/scope,Università di Torino
Country/scope,University of Lapland
Country/scope,Università degli studi della Campania Luigi Vanvitelli
Country/scope,University of Gävle
Country/scope,Universidad de Almería
Country/scope,University of Lodz
Country/scope,University of Trieste
Country/scope,"Universidad Pablo de Olavide, de Sevilla"
Country/scope,University of Agder
Country/scope,Université Claude Bernard Lyon 1
Country/scope,University of Tuscia
Country/scope,Università degli Studi di Messina
Country/scope,Södertörn University
Country/scope,Maria Grzegorzewska University
Country/scope,UiT The Arctic University of Norway
Country/scope,VINNOVA – Swedish Governmental Agency for Innovation Systems
Country/scope,Università degli Studi di Milano
Country/scope,Akademia Bialska Nauk Stosowanych im. Jana Pawła II
Country/scope,Università degli Studi di Padova
Country/scope,Università degli Studi di Brescia
Country/scope,University of Strathclyde
Country/scope,Polish-Japanese Academy of Information Technology
Country/scope,Wroclaw University of Health and Sport Sciences
Country/scope,Universidad de Córdoba
Country/scope,The John Paul II Catholic University of Lublin
Country/scope,University of Agriculture in Krakow
Country/scope,University of Camerino
Country/scope,Consejo Superior de Investigaciones Científicas (CSIC)
Country/scope,Alma Mater Studiorum - Università di Bologna
Country/scope,cOAlition S
Country/scope,Darmstadt University of Applied Sciences
Country/scope,Universidad de Málaga
Country/scope,Universidade de Vigo
Country/scope,Swedish Reproducibility Network
Country/scope,National Council of Rectors
Country/scope,KU Leuven
Country/scope,University of Urbino Carlo Bo
Country/scope,Technische Universtität Braunschweig
Country/scope,Estonian Research Council
Country/scope,University of Silesia in Katowice
Country/scope,Wageningen Young Academy
Country/scope,Nicolaus Copernicus University in Toruń
Country/scope,Józef Piłsudski University of Physical Education in Warsaw
Country/scope,Poznań University of Economics and Business
Country/scope,"Institute of Human Genetics, Polish Academy of Sciences"
Country/scope,Universities of Applied Sciences for Europe - UAS4EUROPE
Country/scope,Humanitas University
Country/scope,Universitat Oberta de Catalunya
Country/scope,Instytut Slawistyki Polskiej Akademii Nauk
Country/scope,Università degli Studi Suor Orsola Benincasa
Country/scope,Wroclaw University of Environmental and Life Sciences
Country/scope,"EU-LIFE, alliance of leading research institutes in the life sciences in Europe"
Country/scope,Jan Dlugosz University in Czestochowa
Country/scope,Finnish Union of Docents
Country/scope,University of Stavanger
Country/scope,EUA Council for Doctoral Education
Country/scope,Univesidad de Granada
Country/scope,Norwegian School of Sport Sciences
Country/scope,Università di Milano-Bicocca
Country/scope,Center for Development Evaluation and Social Science Research
Country/scope,Universidad Autonoma de Madrid
Country/scope,Health Data Research UK
Country/scope,European Society for Cognitive and Affective Neuroscience
Country/scope,Research Software Alliance
Country/scope,Hochschulallianz für den Mittelstand (HAfM) e.V.
Country/scope,COST Association
Country/scope,Tilburg University
Country/scope,Conference of Rectors of Academic Schools in Poland
Country/scope,Université de Lorraine
Country/scope,Université Paris-Saclay
Country/scope,Université de Lille
Country/scope,Malmö University
Country/scope,"Institute of Rural and Agricultural Development, Polish Academy of Sciences (IRWiR PAN)"
Country/scope,Università degli Studi di Firenze
Country/scope,Agora University of Oradea
Country/scope,Østfold University College
Country/scope,Dalarna University
Country/scope,The Netherlands Cancer Institute
Country/scope,Universidad de Burgos
Country/scope,Universitat Politècnica de Catalunya - BarcelonaTech
Country/scope,Academy of Finland
Country/scope,Eindhoven University of Technology TU/e
Country/scope,Institute of Science and Technology Austria (ISTA)
Country/scope,Université Bretagne Sud
Country/scope,Istituto Italiano di Tecnologia
Country/scope,Hasselt University
Country/scope,Radboud University
Country/scope,Université de Reims Champagne-Ardenne
Country/scope,Czech Academy of Sciences
Country/scope,Universitat de les Illes Balears
Country/scope,Young European Research Universities - YERUN
Country/scope,Leibniz Association
Country/scope,Agency for Scientific and University Quality of Andalusia (ACCUA)
Country/scope,European Molecular Biology Laboratory (EMBL)
Country/scope,Jagiellonian University in Krakow
Country/scope,Eötvös Loránd University
Country/scope,West University of Timisoara
Country/scope,Research Council of Lithuania
Country/scope,Vaasa University of Applied Sciences
Country/scope,CRAC-Vitae
Country/scope,Ramon Llull University
Country/scope,Instituto de Investigação e Inovação em Saúde
Country/scope,University of Vaasa
Country/scope,Moldova State University
Country/scope,Vilnius University
Country/scope,University of Oulu
Country/scope,University POLITEHNICA of Bucharest
Country/scope,Université Lumière Lyon 2
Country/scope,Consiglio Nazionale delle Ricerche
Country/scope,Université Sorbonne Paris Nord
Country/scope,UK Research and Innovation (UKRI)
Country/scope,Slovak Accreditation Agency for Higher Education
Country/scope,IFREMER (Institut français de recherche pour l'exploitation de la mer)
Country/scope,TU Delft
Country/scope,CESAER
Country/scope,EPITA
Country/scope,European Network for Research Evaluation in the Social Sciences and Humanities (ENRESSH)
Country/scope,Digital Research Infrastructure for the Arts and Humanities (DARIAH)
Country/scope,European Commission
Country/scope,"Institute of Philosophy and Sociology, Polish Academy of Sciences"
Country/scope,Babes-Bolyai University
Country/scope,Lucian Blaga University of Sibiu
Country/scope,SOCIB - Balearic Islands Coastal Ocean Observing and Forecasting System
Country/scope,La Rochelle Université
Country/scope,University of Galway
Country/scope,University of Southern Denmark
Country/scope,Zurich University of Applied Sciences
Country/scope,Université Côte d'Azur
Country/scope,Romanian Agency for Quality Assurance in Higher Education (ARACIS)
Country/scope,Dunarea de Jos University of Galati
Country/scope,European University Association
Country/scope,ISEP
Country/scope,Università per Stranieri di Siena
Country/scope,Lundbeck Foundation
Country/scope,Aix-Marseille University
Country/scope,University of Warsaw
Country/scope,The Academia Europaea (The Academy of Europe)
Country/scope,"All-Ukrainian NGO ""Innovative University"""
Country/scope,Inria
Country/scope,University College Dublin
Country/scope,University of Bucharest
Country/scope,Universidade Católica Portuguesa
Country/scope,Knowledge Foundation / KK-stiftelsen
Country/scope,Brno University of Technology
Country/scope,University of Luxembourg
Country/scope,Università Vita-Salute San Raffaele
Country/scope,Ospedale San Raffaele
Country/scope,Berlin Institute of Health
Country/scope,The Young Academy of Slovenia
Country/scope,National Research Foundation of Ukraine
Country/scope,University of Groningen
Country/scope,University of Zurich
Country/scope,ANRS | MIE
Country/scope,Associazione Italiana per la promozione della scienza aperta
Country/scope,University of Antwerp
Country/scope,Flemish Interuniversity Council (VLIR)
Country/scope,The European Magnetism Association
Country/scope,Institut d'Investigacions Biomèdiques August Pi i Sunyer
Country/scope,Université de Paris Nanterre
Country/scope,Masaryk University
Country/scope,Romanian Academy
Country/scope,INESC MN
Country/scope,National Library of Technology
Country/scope,Conference of Deans of French Schools of Engineering (CDEFI)
Country/scope,Biomentorhub
Country/scope,Young Academy of Belgium (Flanders)
Country/scope,HuMetricsHSS Initiative
Country/scope,Research Data Alliance
Country/scope,Linköping University
Country/scope,ZonMw
Country/scope,Université Grenoble Alpes
Country/scope,Institut national de la santé et de la recherche médicale
Country/scope,European Alliance for SSH
Country/scope,St. Pölten University of Applied Sciences
Country/scope,University of Helsinki
Country/scope,IdiPAZ - Fundación para la Investigación Biomédica del Hospital Universitario La Paz
Country/scope,Leiden University
Country/scope,Universitat de Girona
Country/scope,Universitatea Alexandru Ioan Cuza Iasi
Country/scope,NGO Growth Pole
Country/scope,European Association of Research Managers and Administrators
Country/scope,Comenius University Bratislava
Country/scope,Institut National du Cancer
Country/scope,Université Gustave Eiffel
Country/scope,Koszalin University of Technology
Country/scope,Université Paris1 Panthéon Sorbonne
Country/scope,Vytautas Magnus University
Country/scope,University of Limerick
Country/scope,Solutions of Artificial Intelligence Applications
Country/scope,Universitat de Barcelona
Country/scope,University of Toulouse
Country/scope,University of Jyväskylä
Country/scope,University of Chemistry and Technology Prague
Country/scope,University of Applied Sciences Kufstein Tirol
Country/scope,Université de Fribourg
Country/scope,Universite Clermont-Auvergne
Country/scope,UNICA - Network of Universities from the Capitals of Europe
Country/scope,SPARC Europe
Country/scope,Sorbonne Université
Country/scope,Politecnico di Torino
Country/scope,Metropolia University of Applied Sciences
Country/scope,Laurea University of Applied Sciences
Country/scope,J. Heyrovsky Institute of Physical Chemistry of the Czech Academy of Sciences
Country/scope,Italian National Agency for the Evaluation of Universities and Research Institutes (ANVUR)
Country/scope,Institutul pentru Educatie
Country/scope,Health Research Board
Country/scope,Icelandic Centre for Research
Country/scope,Institut Polytechnique UniLaSalle
Country/scope,Biogipuzkoa Health Research Institute
Country/scope,Centre de Coopération Internationale en Recherche Agronomique pour le Développement
Country/scope,Research Data Alliance Association AISBL
Country/scope,Universitat Rovira i Virgili
Country/scope,Erasmus University Medical Center
Country/scope,European Infrastructure for Translational Medicine
Country/scope,"INCEMC Timisoara - The National Institute for Research, Innovation and Development for Electrochemistry and Condensed Matter"
Country/scope,International Consortium of Research Staff Organisations
Country/scope,Université de Strasbourg
Country/scope,Turku University of Applied Sciences
Country/scope,Association of Universities of the Netherlands
Country/scope,University of Eastern Finland
Country/scope,"EuroScience, the European Association for the Advancement of Science and Technology"
Country/scope,Institutul Naţional de Cercetare-Dezvoltare în Domeniul Patologiei şi Ştiinţelor Biomedicale „VICTOR BABEŞ”
Country/scope,Association of ERC Grantees
Country/scope,"Formas, The Swedish Research Council for the Environment, Agricultural Science and Spatial Planning"
Country/scope,Leibniz Institute of Ecological Urban and Regional Development
Country/scope,ALLEA - All European Academies
Country/scope,"Data Engineering and Semantics Research Unit, University of Sfax"
Country/scope,INESC Brussels HUB
Country/scope,TOUR4EU Tuscan Organisation of Universities in Europe
Country/scope,European Languages Council
Country/scope,Sociedad Cientifica Informatica de España (SCIE)
Country/scope,Hochschullehrerbund Bundesvereinigung
Country/scope,University Medical Center Utrecht
Country/scope,Centro de Investigação em Artes e Comunicação - CIAC
Country/scope,University of Gdańsk
Country/scope,SCImPULSE Foundation
Country/scope,Universidade de Coimbra
Country/scope,Aalto University
Country/scope,Stockholm University
Country/scope,Swansea University
Country/scope,Independent Research Fund Denmark
Country/scope,OPERAS AISBL
Country/scope,The Danish National Research Foundation
Country/scope,FWF Austrian Science Fund
Country/scope,"INESC TEC – Institute for Systems and Computer Engineering, Technology and Science"
Country/scope,Universities Norway
Country/scope,Barcelona Institute for Global Health - ISGlobal
Country/scope,European Chemical Society (EuChemS)
Country/scope,Grigore T. Popa University of Medicine and Pharmacy Iasi
Country/scope,Fundação para a Ciência e a Tecnologia
Country/scope,Swiss National Science Foundation
Country/scope,Czech Science Foundation
Country/scope,Tampere University
Country/scope,Luxembourg National Research Fund
Country/scope,Kyiv National Economic University
Country/scope,Marie Curie Alumni Association (MCAA)
Country/scope,CERN
Country/scope,The Research Council of Norway
Country/scope,Science Europe
Country/scope,Swissuniversities
Country/scope,ANR (French National Research Agency)
Country/scope,"Executive Agency for Higher Education, Research, Development & Innovation Funding-UEFISCDI"
Country/scope,OpenAIRE AMKE
Country/scope,Nederlandse Organisatie voor Wetenschappelijk Onderzoek
Country/scope,INORMS
Country/scope,Wroclaw University of Economics and Business
Country/scope,"Centro di Ricerca, Sviluppo e Studi Superiori in Sardegna - CRS4"
Country/scope,National and Kapodistrian University of Athens (NKUA)
Country/scope,Global Young Academy
Country/scope,University of Twente
Country/scope,European Women Rectors Association
Country/scope,Universidade do Minho
Country/scope,CNRS
Country/scope,Good Clinical Practice Alliance - Europe (GCPA)
Country/scope,University of Rijeka
Country/scope,Research Foundation Flanders - FWO
Country/scope,Beilstein-Institut
Country/scope,Eurodoc
Country/scope,Federation of Finnish Learned Societies
Country/scope,University of Turku
Country/scope,ÖPUK Oesterreichische Privatuniversitätenkonferenz
Country/scope,The Polish Academy of Sciences
Country/scope,Universidade de Trás-os-Montes e Alto Douro
Country/scope,"National University ""Zaporizhzhia Polytechnic"""
Country/scope,Young Academy of Europe
Country/scope,Initiative for Science in Europe
Country/scope,DANS-KNAW
Country/scope,The Framework for Open and Reproducible Research Training (FORRT)
Country/scope,Wageningen University & Research
Country/scope,Vrije Universiteit Amsterdam
Country/scope,Bilim Akademisi - Science Academy Turkey
Country/scope,Lutsk National Technical University
Country/scope,Maastricht University
Country/scope,Haut Conseil de l'évaluation de la recherche et de l'enseignement supérieur
Country/scope,Deutsche Forschungsgemeinschaft (DFG) e.V.
Country/scope,The Royal Netherlands Academy of Arts and Sciences
Country/scope,Charles University
Country/scope,Utrecht University
Croatia,University of Rijeka
Cyprus,European University Cyprus
Cyprus,University of Cyprus
Cyprus,European Office of Cyprus
Czechia,Tomas Bata University in Zlin
Czechia,"Research, Development and Innovation Council"
Czechia,University of South Bohemia in České Budějovice
Czechia,Global Change Research Institute CAS
Czechia,Palacký University Olomouc
Czechia,Czech Association of Doctoral Researchers
Czechia,"Ministry of Education, Youth and Sports, Czech Republic"
Czechia,Czech Academy of Sciences
Czechia,Brno University of Technology
Czechia,Masaryk University
Czechia,National Library of Technology
Czechia,University of Chemistry and Technology Prague
Czechia,J. Heyrovsky Institute of Physical Chemistry of the Czech Academy of Sciences
Czechia,Czech Science Foundation
Czechia,Charles University
Denmark,University College Absalon
Denmark,Roskilde University
Denmark,VELUX FONDEN
Denmark,Villum Foundation
Denmark,Technical University of Denmark
Denmark,IT University of Copenhagen
Denmark,Aalborg University
Denmark,Aarhus Universitet
Denmark,University of Copenhagen
Denmark,University of Southern Denmark
Denmark,Lundbeck Foundation
Denmark,Independent Research Fund Denmark
Denmark,The Danish National Research Foundation
Estonia,The Estonian Young Academy of Sciences
Estonia,Estonian Research Council
Europe,European University for Well-Being
Europe,National University of Kyiv Mohyla Academy
Europe,European Institute of Education and Social Policy
Europe,ORPHEUS- Quality in Doctoral Education
Europe,ASTP Proton
Europe,EUTOPIA
Europe,European Society for Anesthesiology and Intensive cAre
Europe,European Research Infrastructure on Highly Pathogenic Agents
Europe,European Consortium of Innovative Universities
Europe,Common Language Resources and Technology Infrastructure (CLARIN ERIC)
Europe,The Guild of European Research-Intensive Universities
Europe,Aurora
Europe,EOSC Association AISBL
Europe,European Research Council
Europe,Ulysseus European University
Europe,European Science Foundation - Science Connect
Europe,European Association of Institutions in Higher Education
Europe,European Civil Society Platform for Multilingualism
Europe,League of European Research Universities
Europe,European University Hospital Alliance
Europe,Coimbra Group
Europe,Universities of Applied Sciences for Europe - UAS4EUROPE
Europe,"EU-LIFE, alliance of leading research institutes in the life sciences in Europe"
Europe,EUA Council for Doctoral Education
Europe,European Society for Cognitive and Affective Neuroscience
Europe,COST Association
Europe,Young European Research Universities - YERUN
Europe,European Molecular Biology Laboratory (EMBL)
Europe,CESAER
Europe,European Network for Research Evaluation in the Social Sciences and Humanities (ENRESSH)
Europe,Digital Research Infrastructure for the Arts and Humanities (DARIAH)
Europe,European Commission
Europe,European University Association
Europe,The Academia Europaea (The Academy of Europe)
Europe,The European Magnetism Association
Europe,European Alliance for SSH
Europe,European Association of Research Managers and Administrators
Europe,UNICA - Network of Universities from the Capitals of Europe
Europe,SPARC Europe
Europe,Research Data Alliance Association AISBL
Europe,European Infrastructure for Translational Medicine
Europe,"EuroScience, the European Association for the Advancement of Science and Technology"
Europe,Association of ERC Grantees
Europe,ALLEA - All European Academies
Europe,SCImPULSE Foundation
Europe,OPERAS AISBL
Europe,European Chemical Society (EuChemS)
Europe,CERN
Europe,Science Europe
Europe,OpenAIRE AMKE
Europe,European Women Rectors Association
Europe,Good Clinical Practice Alliance - Europe (GCPA)
Europe,Eurodoc
Europe,Young Academy of Europe
Europe,Initiative for Science in Europe
Finland,Aland University of Applied Sciences
Finland,Diaconia University of Applied Sciences
Finland,LAB University of Applied Sciences
Finland,Finnish Environment Institute (Syke)
Finland,Häme University of Applied Sciences
Finland,South-Eastern Finland University of Applied Sciences
Finland,Lapland University of Applied Sciences
Finland,Karelia University of Applied Sciences
Finland,Oulu University of Applied Sciences ltd
Finland,Humak University of Applied Sciences
Finland,Centria University of Applied Sciences
Finland,Tampere University of Applied Sciences
Finland,Novia University of Applied Sciences
Finland,Jamk University of Applied Sciences
Finland,Seinäjoki University of Applied Sciences
Finland,Savonia University of Applied Sciences
Finland,Satakunta University of Applied Sciences
Finland,Hanken School of Economics
Finland,Haaga-Helia University of Applied Sciences
Finland,Åbo Akademi University
Finland,The University of the Arts Helsinki
Finland,Lappeenranta-Lahti University of Technology LUT
Finland,University of Lapland
Finland,Finnish Union of Docents
Finland,Academy of Finland
Finland,Vaasa University of Applied Sciences
Finland,University of Vaasa
Finland,University of Oulu
Finland,University of Helsinki
Finland,University of Jyväskylä
Finland,Metropolia University of Applied Sciences
Finland,Laurea University of Applied Sciences
Finland,Turku University of Applied Sciences
Finland,University of Eastern Finland
Finland,Aalto University
Finland,Tampere University
Finland,Federation of Finnish Learned Societies
Finland,University of Turku
France,Muséum national d'Histoire naturelle
France,University of Orléans
France,CY Cergy Paris Université
France,Institut Pasteur
France,Jean Monnet University
France,University of Caen Normandy
France,Ecole Normale Supérieure de Lyon
France,INALCO - National Institute of Oriental Languages and Civilizations
France,ONERA The French Aerospace Lab
France,French National Institute for Sustainable Development
France,Université Paris Cité
France,Sorbonne Nouvelle University
France,University Paris-Est Créteil
France,Sciences Po
France,GRISOF - Groupe  de reflexion et d'Information en Science Ouverte Francophone
France,University of Limoges
France,University of Tours
France,Université de Rennes 1
France,Université Polytechnique Hauts-De-France
France,Université d'Angers
France,"Udice, French Research Universities"
France,Université de Poitiers
France,"Institut National de Recherche pour l'agriculture, l'alimentation et l'environnement"
France,AgroParisTech
France,Université de Bordeaux
France,Université Rennes 2
France,Université de Franche-Comté
France,Université de Haute Alsace
France,Université Toulouse Capitole
France,France Universités
France,Université Claude Bernard Lyon 1
France,Université de Lorraine
France,Université Paris-Saclay
France,Université de Lille
France,Université Bretagne Sud
France,Université de Reims Champagne-Ardenne
France,Université Lumière Lyon 2
France,Université Sorbonne Paris Nord
France,IFREMER (Institut français de recherche pour l'exploitation de la mer)
France,EPITA
France,La Rochelle Université
France,Université Côte d'Azur
France,ISEP
France,Aix-Marseille University
France,Inria
France,ANRS | MIE
France,Université de Paris Nanterre
France,Conference of Deans of French Schools of Engineering (CDEFI)
France,Université Grenoble Alpes
France,Institut national de la santé et de la recherche médicale
France,Institut National du Cancer
France,Université Gustave Eiffel
France,Université Paris1 Panthéon Sorbonne
France,University of Toulouse
France,Universite Clermont-Auvergne
France,Sorbonne Université
France,Institut Polytechnique UniLaSalle
France,Centre de Coopération Internationale en Recherche Agronomique pour le Développement
France,Université de Strasbourg
France,ANR (French National Research Agency)
France,CNRS
France,Haut Conseil de l'évaluation de la recherche et de l'enseignement supérieur
Georgia,Alte University
Georgia,Avicenna - Batumi Medical University
Georgia,Ilis State University
Georgia,David Tvildiani Medical University
Georgia,Petre Shotadze Tbilisi Medical Academy
Georgia,Shota Rustaveli National Science Foundation
Germany,Helmholtz Open Science Office
Germany,University Alliance Ruhr
Germany,University of Education Heidelberg
Germany,Alexander von Humboldt Foundation
Germany,German Society of Sport Science
Germany,Leibniz Institute for Psychology (ZPID)
Germany,European Geosciences Union
Germany,RWTH Aachen University
Germany,European Citizen Science Association (ECSA)
Germany,TU Dortmund University
Germany,German U15
Germany,FIZ Karlsruhe – Leibniz Institute for Information Infrastructure
Germany,Humboldt-Universität zu Berlin
Germany,German Sport University Cologne
Germany,University of Potsdam
Germany,Hochschule Bonn-Rhein-Sieg University of Applied Sciences
Germany,University of Applied Science Jena
Germany,Ruhr University Bochum
Germany,Leibniz University Hannover
Germany,Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft
Germany,ZB MED - Information Centre for Life Sciences
Germany,Koblenz University of Applied Sciences
Germany,University of Applied Sciences Offenburg
Germany,German Science and Humanities Council
Germany,"German Association for Psychiatry, Psychotherapy and Psychosomatics"
Germany,Technische Universität Berlin
Germany,Technical University of Applied Sciences Amberg-Weiden
Germany,Mainz University of Applied Sciences
Germany,Charité - Universitaetsmedizin Berlin
Germany,Berlin University Alliance
Germany,Universität Hamburg
Germany,Deutsche Gesellschaft für Psychologie (DGPs)
Germany,Rhine-Main-Universities
Germany,TU Darmstadt
Germany,Darmstadt University of Applied Sciences
Germany,Technische Universtität Braunschweig
Germany,Hochschulallianz für den Mittelstand (HAfM) e.V.
Germany,Leibniz Association
Germany,Berlin Institute of Health
Germany,Leibniz Institute of Ecological Urban and Regional Development
Germany,Hochschullehrerbund Bundesvereinigung
Germany,Beilstein-Institut
Germany,Deutsche Forschungsgemeinschaft (DFG) e.V.
Global,"CODATA, the Committee on Data of the International Science Council"
Global,International Federation of Scholarly Associations of Management
Global,International Sustainable Development Research Society
Global,Center for Open Science
Global,Confederation of Open Access Repositories
Global,Knowmad Institut - European Institute for Multidisciplinary Studies on Human Rights and Science
Global,Research on Research Institute (RoRI)
Global,Association for Interdisciplinary Meta-Research and Open Science
Global,EMBO
Global,cOAlition S
Global,Research Software Alliance
Global,CRAC-Vitae
Global,HuMetricsHSS Initiative
Global,Research Data Alliance
Global,International Consortium of Research Staff Organisations
Global,European Languages Council
Global,Marie Curie Alumni Association (MCAA)
Global,INORMS
Global,Global Young Academy
Global,The Framework for Open and Reproducible Research Training (FORRT)
Greece,Athena Research & Innovation Center in Information Communication & Knowledge Technologies
Greece,National and Kapodistrian University of Athens (NKUA)
Hungary,Obuda University
Hungary,University of Pannonia
Hungary,University of Pécs
Hungary,Hungarian Young Academy
Hungary,University of Miskolc
Hungary,Andrássy University Budapest
Hungary,Hungarian Accreditation Committee (MAB)
Hungary,Corvinus University of Budapest
Hungary,Budapest University of Technology and Economics
Hungary,University of Debrecen
Hungary,Hungarian Academy of Sciences
Hungary,HUN-REN HQ
Hungary,Hungarian Rectors' Conference
Hungary,"Országos Rabbiképzó – Zsidó Egyetem [Jewish Theological Seminary – University of Jewish Studies, Hungary]"
Hungary,Eötvös Loránd University
Iceland,University of Iceland
Iceland,Icelandic Centre for Research
Ireland,Irish Research Staff Association
Ireland,Mary Immaculate College
Ireland,Irish Research Council
Ireland,Dublin City University
Ireland,Trinity College Dublin
Ireland,Technological University of the Shannon Midlands Midwest
Ireland,University College Cork
Ireland,South East Technological University
Ireland,Science Foundation Ireland
Ireland,Technological University Dublin
Ireland,University of Galway
Ireland,University College Dublin
Ireland,University of Limerick
Ireland,Health Research Board
Italy,AMASES (Association for Mathematics Applied to Social and Economic Sciences)
Italy,Center For Ethics In Science And Journalism
Italy,"Italian Academy of Business Administration, Organization and Management"
Italy,Politecnico di Milano
Italy,Fondazione IRCCS Policlinico San Matteo di Pavia
Italy,Association of Healthcare Researchers – Italy
Italy,Fondazione IRCCS Istituto Neurologico Carlo Besta
Italy,National Institute of Oceanography and Applied Geophysics - OGS
Italy,Istituto Nazionale di Fisica Nucleare
Italy,"University ""G. d'Annunzio"" of Chieti-Pescara"
Italy,IRCCS Ospedale Galeazzi Sant'Ambrogio
Italy,LIUC - Università Cattaneo
Italy,University of Genoa
Italy,Sant'Anna School of Advanced Studies
Italy,Italian Society of the History of Philosophy
Italy,Italian Association of Psychology (AIP)
Italy,Istituto Nazionale Di Geofisica E Vulcanologia
Italy,University of Pisa
Italy,Italian Institute for Environmental Protection and Research
Italy,University of Eastern Piedmont
Italy,Università degli Studi dell’Insubria
Italy,Università degli Studi di Bergamo
Italy,European University of Rome
Italy,Università degli Studi di Cassino e del Lazio Merdionale
Italy,Università di Macerata
Italy,Scuola IMT Alti Studi Lucca
Italy,Università degli Studi di Ferrara
Italy,IULM
Italy,Italian Reproducibility Network
Italy,Link Campus University
Italy,Università degli Studi di Palermo
Italy,Università degli studi di Modena e Reggio Emilia
Italy,Università degli Studi Roma Tre
Italy,Ca' Foscari University of Venice
Italy,Politecnico di Bari
Italy,Università degli Studi di Pavia
Italy,Università Campus Bio-Medico di Roma
Italy,Università degli Studi di Verona
Italy,University of L'Aquila
Italy,Università del Salento
Italy,Scuola Normale Superiore
Italy,Università Politecnica delle Marche
Italy,GRIN -- GRuppo di INformatica
Italy,University of Foggia
Italy,Universita' degli Studi di Bari Aldo Moro
Italy,Università degli Studi di Trento
Italy,University of Cagliari
Italy,Università di Torino
Italy,Università degli studi della Campania Luigi Vanvitelli
Italy,University of Trieste
Italy,University of Tuscia
Italy,Università degli Studi di Messina
Italy,Università degli Studi di Milano
Italy,Università degli Studi di Padova
Italy,Università degli Studi di Brescia
Italy,University of Camerino
Italy,Alma Mater Studiorum - Università di Bologna
Italy,University of Urbino Carlo Bo
Italy,Humanitas University
Italy,Università degli Studi Suor Orsola Benincasa
Italy,Università di Milano-Bicocca
Italy,Università degli Studi di Firenze
Italy,Istituto Italiano di Tecnologia
Italy,Consiglio Nazionale delle Ricerche
Italy,Università per Stranieri di Siena
Italy,Università Vita-Salute San Raffaele
Italy,Ospedale San Raffaele
Italy,Associazione Italiana per la promozione della scienza aperta
Italy,Politecnico di Torino
Italy,Italian National Agency for the Evaluation of Universities and Research Institutes (ANVUR)
Italy,TOUR4EU Tuscan Organisation of Universities in Europe
Italy,"Centro di Ricerca, Sviluppo e Studi Superiori in Sardegna - CRS4"
Kenya,Olkejuado Adult and Continuing Education Association
Kosovo,University of Prishtina
Latvia,Latvia University of Life Sciences and Technologies
Latvia,Vidzeme University of Applied Sciences
Latvia,Art Academy of Latvia
Latvia,Latvian Council of Science
Latvia,Higher Education Council of Latvia
Liechtenstein,University of Liechtenstein
Lithuania,Vilnius Gediminas Technical University
Lithuania,Mykolas Romeris University
Lithuania,Lithuanian Society for Infectious Diseases
Lithuania,General Jonas Žemaitis Military Academy of Lithuania
Lithuania,Rectors' Conference of Lithuanian University Colleges (LKDK)
Lithuania,St. Ignatius of Loyola College
Lithuania,Lithuanian Centre for Social Sciences
Lithuania,ISM University of Management and Economics
Lithuania,Lithuanian Academy of Sciences
Lithuania,Vilniaus kolegija/Higher Education Institution
Lithuania,Lithuanian Sociological Association
Lithuania,Lithuanian University' Rectors' conference
Lithuania,Research Council of Lithuania
Lithuania,Vilnius University
Lithuania,Vytautas Magnus University
Luxembourg,Luxembourg Agency For Research Integrity
Luxembourg,University of Luxembourg
Luxembourg,Luxembourg National Research Fund
Mexico,Institute of Evaluation and Advanced Engineering
Mexico,University of Monterrey
Moldova,Academy of Economic Studies of Moldova
Moldova,University of Political and Economic European Studies C. Stere
Moldova,Moldova Young Academy
Moldova,Information Society Development Institute
Moldova,Moldova State University
Montenegro,Physical Activity and Sports Tech for Healthy Lifestyles
National/regional authorities or agencies that implement some form of research assessment and their associations,Canarian Agency for Quality Assessment and Accreditation (ACCUEE)
National/regional authorities or agencies that implement some form of research assessment and their associations,"Research, Development and Innovation Council"
National/regional authorities or agencies that implement some form of research assessment and their associations,Luxembourg Agency For Research Integrity
National/regional authorities or agencies that implement some form of research assessment and their associations,Fonds de recherche Quebec
National/regional authorities or agencies that implement some form of research assessment and their associations,Catalan Institution for Research and Advanced Studies
National/regional authorities or agencies that implement some form of research assessment and their associations,National Research and Development Agency
National/regional authorities or agencies that implement some form of research assessment and their associations,Hungarian Accreditation Committee (MAB)
